customer_id,age,sexe,zone_geographique,type_client,montant_consommation,nombre_appels,volume_data,nombre_sms,type_abonnement,duree_abonnement,date_abonnement
CUST_00001,40.960569836134795,M,Tunis,Particulier,45.086840724406144,69.52055896349266,2.698648919582035,15.0,Hybride,36.31482149704443,2025-02-28
CUST_00002,33.340828385945784,M,Tunis,Particulier,67.57666920243821,70.99147947648738,8.387068169217766,15.0,Postpayé,47.898915576015376,2022-08-25
CUST_00003,42.77226245720831,F,Tunis,Particulier,40.924008049881536,81.96587735444936,3.718025818731555,,Prépayé,36.60979559074893,2023-01-19
CUST_00004,53.2763582768963,F,Sfax,Entreprise,130.18926335902196,68.53497991212602,4.330213691083711,18.0,Postpayé,52.29995536028006,2024-07-08
CUST_00005,32.19015950331997,M,Autre,Particulier,80.46021020129173,82.60868000296772,2.384233126628192,21.0,Prépayé,60.0,2024-05-27
CUST_00006,32.19035651660983,F,Sousse,Entreprise,26.92512869311733,80.17002936034517,,18.0,Prépayé,25.26567087553932,2023-12-28
CUST_00007,53.9505537860887,M,Sousse,Particulier,76.52731867176956,50.5925297788132,6.465483585052212,27.0,Postpayé,33.13823626003474,2024-05-01
CUST_00008,44.20921674983491,M,Tunis,Particulier,66.84565291119631,64.3343757708036,4.498155018057909,17.0,Postpayé,34.029949522507515,2023-11-02
CUST_00009,29.366307368780575,F,Autre,Particulier,39.71282058641024,52.40324346705772,5.244395519902709,21.0,Prépayé,54.127186667816815,2024-01-15
CUST_00010,41.51072052303158,F,Sfax,Particulier,29.416628723564386,77.78953474840603,12.087479565586971,22.0,Prépayé,36.4728679796597,2023-05-28
CUST_00011,29.438987686250453,F,Tunis,Particulier,106.31970190959534,68.38055530496065,7.532595341375005,28.0,Hybride,48.65338109774056,2024-03-05
CUST_00012,29.41124295715692,F,Sousse,Particulier,50.328248496820144,83.15976342976454,6.1426355376471315,14.0,Postpayé,40.94875157587211,2022-09-08
CUST_00013,37.90354725879241,M,Tunis,Particulier,57.73435477061886,61.876391812487604,2.8164982661797877,21.0,Postpayé,37.503092916639126,2023-09-18
CUST_00014,18.0,F,Sfax,Particulier,25.03412224319625,75.39007210388692,12.483705454664271,14.0,Prépayé,44.980907892090244,2024-07-20
CUST_00015,18.0,M,Sousse,Particulier,30.493445178717806,80.23522150363826,1.0153489140092316,,Prépayé,54.29850289161202,2022-06-07
CUST_00016,28.252549649108328,F,Autre,Particulier,16.759449759381226,67.51737495423278,1.9900382033499178,17.0,Prépayé,18.451535007425935,2024-12-02
CUST_00017,22.846026555986914,M,Sfax,Particulier,25.26207863339052,60.163380406152655,10.189702293231333,32.0,Prépayé,50.40845101538164,2022-07-09
CUST_00018,38.77096799114329,F,Bizerte,Particulier,39.53855992167484,70.76798864524238,8.399116662576283,26.0,Prépayé,38.76076204949487,2023-12-17
CUST_00019,24.103711093745467,M,Autre,Particulier,39.40752938007371,64.9549601133522,15.28584721669965,30.0,Prépayé,41.206435029026515,2023-02-05
CUST_00020,18.052355583976503,F,Tunis,Particulier,78.50726456964227,83.2956311652764,7.374144394084773,19.0,Postpayé,48.74219850942214,2022-04-02
CUST_00021,52.587785227058646,M,Tunis,Particulier,58.3945407789066,43.94221782077723,4.838430014402888,21.0,Prépayé,41.74908974444268,2023-05-07
CUST_00022,32.29068439416157,F,Sfax,Particulier,86.2322345118187,85.89829723385476,3.1713803396858027,21.0,Postpayé,56.1787222433723,2022-11-17
CUST_00023,35.81033845625509,M,Sfax,Entreprise,57.54549138067262,57.97075870821405,6.950027622924885,9.0,Prépayé,23.34203980471076,2023-02-14
CUST_00024,18.0,M,Sfax,Particulier,172.47295356769084,73.43888405988567,5.797125373154634,19.0,Postpayé,33.525243745246655,2024-10-01
CUST_00025,28.467407305697808,M,Autre,Particulier,48.039012464648685,69.1927050567301,5.508507960072015,22.0,Prépayé,44.151468868187735,2022-06-06
CUST_00026,36.33107107651839,M,Bizerte,Particulier,36.00284567170079,69.09846659267345,8.687896515552566,19.0,Postpayé,35.48718939739893,2025-02-12
CUST_00027,21.188077070932366,F,Sousse,Particulier,37.295966157388314,64.98357076600892,1.8440845846944074,21.0,Prépayé,54.722787538116506,2023-07-06
CUST_00028,39.508376220148065,M,Sfax,Particulier,49.77897523267182,72.37002077218705,10.246725999185077,30.0,Hybride,34.01855698553158,2023-08-20
CUST_00029,27.79233572097434,F,Autre,Particulier,135.1271475851484,75.72947671255551,19.989277886738414,23.0,Postpayé,40.23977168991761,2024-05-25
CUST_00030,31.49967500248068,M,Autre,Particulier,66.44851554538303,54.5381780315154,5.127839327277951,13.0,Postpayé,33.01994641833025,2024-06-30
CUST_00031,27.77952065324724,M,Autre,Entreprise,21.943516121082475,69.23703300593915,9.293092594376146,29.0,Prépayé,38.4740660118783,2022-12-12
CUST_00032,57.22733821410725,F,Tunis,Particulier,55.63521595223605,58.05761594220793,,21.0,Postpayé,26.212208570017236,2023-12-28
CUST_00033,34.83803330314479,F,Sousse,Particulier,36.69728389068317,66.93012516604763,5.675645352531365,18.0,Postpayé,28.711779165476226,2023-03-29
CUST_00034,22.307468852529198,M,Tunis,Particulier,5.375143183726418,78.94601329466806,4.4186589090879185,21.0,Prépayé,60.0,2024-04-04
CUST_00035,44.870538945238266,F,Tunis,Particulier,159.82258867555694,79.50453845686899,,16.0,Postpayé,39.48164641555963,2022-06-17
CUST_00036,20.349876200347733,F,Tunis,Particulier,70.61157940498708,81.7097298392533,4.860242155767711,29.0,Postpayé,36.18288306542217,2022-04-03
CUST_00037,37.50636314005706,M,Sousse,Particulier,38.484289387263175,62.55862746661292,5.884854841145885,19.0,Postpayé,30.330473888776922,2023-06-08
CUST_00038,18.0,F,Bizerte,Particulier,140.57905633806985,80.1748217519742,10.879209701700582,25.0,Postpayé,31.43413401962985,2023-05-02
CUST_00039,19.061767413218835,F,Tunis,Entreprise,151.23410603314068,93.99293355544883,5.59215590191949,,Postpayé,59.310056873642075,2022-10-28
